"Ingredient ID",4513,11215,11283,11510,11125,16359,12116,9322,11303,11530,11282,11165,9152,28306,1001
"Ingredient Description","Vegetable oil, palm kernel","Garlic, raw","Onions, cooked, boiled, drained, without salt","Sweet potato, cooked, boiled, without skin","Carrots, cooked, boiled, drained, without salt","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water","Nuts, coconut cream, canned, sweetened","Tamarinds, raw","Peas, edible-podded, frozen, cooked, boiled, drained, without salt","Tomatoes, red, ripe, cooked","Onions, raw","Coriander (cilantro) leaves, raw","Lemon juice, raw","Bread, chapati or roti, plain, commercially prepared","Butter, salted"
"Portion size","cup","clove","medium","medium","carrot","100g","cup","cup, pulp","cup","medium","medium (2-1/2"" dia)","cup","lemon yields","piece","tbsp"
"Pantothenic acid",0.0,0.03575999999999999,0.10622,1.7546199999999998,0.21344000000000002,0,0.8157294860272001,0.0035749942799999995,0.6856,0.31734,0.1353,0.011399999999999999,0.06288,2.3663999999999996,0.031239999999999997,6.5395044803072
"Tocopherol, beta",0,0,0.0,0.0302,0.0184,0,0,0,0,0.0246,0.0,0,0,0.8976000000000001,0.0,0.9708000000000001
"Choline, total",0.109,1.392,6.3919999999999995,32.61600000000001,8.096,0,33.02953747104,0.21499965599999998,16.8,16.974,6.71,0.256,2.448,0,5.3392,130.37673712704
"Manganese, Mn",0.0,0.10032,0.14382,0.80332,0.1426,3.2,4.078647430136,0,0.22400000000000003,0.2583,0.14190000000000003,0.00852,0.00576,5.10408,0.0,14.211267430136001
"18:3 n-3 c,c,c (ALA)",0,0,0,0,0,0,0,0,0,0,0,0,0.004319999999999999,0.52632,0.08946,0.6201
"Fatty acids, total trans-polyenoic",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03264,0.084064,0.116704
"Lycopene",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480.86,0.0,0.0,0.0,0,0.0,7480.86
"Fructose",0,0,1.3536,1.2985999999999998,0.3312,0,0.0,0,0,3.2226,1.419,0,0.528,2.2032000000000003,0,10.356200000000001
"Glucose (dextrose)",0,0,2.0585999999999998,1.6308,0.36800000000000005,0,0.0,0,0,2.9027999999999996,2.167,0,0.47519999999999996,1.02,0,10.622399999999999
"Vitamin A, IU",0.0,0.54,1.88,47534.8,15670.36,88.0,0.0,0.7499987999999999,1048.8,1202.94,2.2,134.96,2.88,0,709.7159999999999,66397.8259988
"22:6 n-3 (DHA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin A, RAE",0.0,0.0,0.0,2376.74,783.84,4.0,0.0,0.049999919999999996,52.8,59.04,0.0,6.74,0.0,0,194.25599999999997,3477.46599992
"Fatty acids, total trans-monoenoic",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10608000000000001,0.846888,0.952968
"18:2 t not further defined",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03264,0,0.03264
"Tryptophan",0.0,0.00396,0.0188,0.08456,0.0092,0.276,0.0650581798672,0.00044999927999999994,0.027200000000000002,0.01968,0.0154,0,0,0,0.003408,0.5237161791472
"20:5 n-3 (EPA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"22:1 undifferentiated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"18:3 n-6 c,c,c",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01632,0,0.01632
"Folic acid",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
